id,name
208,"Classic Wings, Sweet & spicy sauce"
209,Cole Slaw
210,Cowboy Burger
211,Crispy Orange Chicken
212,Crunchy Onion Rings
213,"Crunchy Onion Rings, Side"
214,Decadent Shakes
215,Double Crunch Shrimp
216,Double-Glazed Baby Back Ribs
217,Double-Glazed Baby Back Ribs – Half Rack
218,Fiesta Lime Chicken®
219,Fire Pit Bacon Burger
220,Florentine Ravioli with Chicken
221,French Dip Sliders
222,French Dip Sliders
223,French Onion Soup
224,"Fresh Fruit, Side"
225,Fried Chicken Salad
226,"Fried Chicken Salad, Half"
227,"Fried Chicken Salad, Half w/o dressing"
228,"Fried Chicken Salad, Regular"
229,"Fried Chicken Salad, Regular w/o dressing"
230,Fried Red Potatoes
231,"Fries, Side"
232,"Fries, Side"
233,Frozen Lemonades
234,Garlic Herb Salmon
235,Garlic Mashed Potatoes
236,"Grilled Chicken Caesar, Half"
237,"Grilled Chicken Caesar, Half w/o dressing"
238,"Grilled Chicken Caesar, Regular"
239,"Grilled Chicken Caesar, Regular w/o dressing"
240,Grilled Chicken Wonton Tacos
241,Grilled Dijon Chicken & Portobellos
242,Grilled Dijon Chicken & Portobellos
243,Grilled Shrimp & Island Rice
244,Grilled Shrimp ‘N Spinach Salad
245,"Grilled Shrimp ‘N Spinach Salad, Half"
246,"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing"
247,"Grilled Shrimp ‘N Spinach Salad, Regular"
248,"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing"
249,"Grilled Steak Caesar, Half"
250,"Grilled Steak Caesar, Half w/o dressing"
251,"Grilled Steak Caesar, Regular"
252,"Grilled Steak Caesar, Regular w/o dressing"
253,Hamburger
254,Hand-Battered Fish & Chips
255,Hand-Battered Fish Sandwich
256,Honey BBQ Chicken Sandwich
257,Hot Fudge Sundae Shooter
258,House Salad
259,House Sirloin
260,House Sirloin
261,Kids 4oz Sirloin Steak
262,Kids Apple Juice (6.75 oz)
263,Kids Applesauce side
264,Kids Celery side with Dressing
265,Kids Cheese Pizza
266,Kids Chicken Tenders
267,Kids Chocolate Milk (1% 8oz)
268,Kids Corn Dog
269,Kids Fried Shrimp
270,Kids Grape Juice (6.75 oz)
271,Kids Grilled Cheese (Hawaiian bread)
272,Kids Grilled Cheese (sourdough bread)
273,Kids Grilled Chicken Sandwich
274,Kids Hot Dog
275,Kids Hot Fudge Sundae
276,Kids Kraft Macaroni and Cheese
277,Kids Milk (1% or 2% 8 oz)
278,Kids Mini Cheeseburger – 1
279,Kids Mini Cheeseburgers – 2
280,Kids Mini Hamburger – 1
281,Kids Mini Hamburger – 2
282,Kids Orange-Tangerine Juice (6.75 oz)
283,Kids OREO® Cookie Milkshake
284,Kids OREO® Cookie Sundae
285,Kids Pasta with Marinara Sauce
286,Kids Steamed Broccoli Side
287,Kids Strawberry Sundae
288,Kids Tropicana Fruit Punch (12 oz)
289,Kids Vanilla Sundae
290,Kids Vanilla Sundae with Hershey’s Syrup
291,Loaded Baked Potato
292,Loaded Mashed Potatoes
293,Maple Butter Blondie
294,Margherita Chicken
295,Mozzarella Sticks
296,New England Fish & Chips
297,New York Strip
298,Orange Glazed Salmon
299,Oriental Chicken Rollup
300,Oriental Chicken Salad
301,"Oriental Chicken Salad, Half"
302,"Oriental Chicken Salad, Half w/o dressing"
303,"Oriental Chicken Salad, Regular"
304,"Oriental Chicken Salad, Regular w/o dressing"
305,Oriental Grilled Chicken Salad
306,"Oriental Grilled Chicken Salad, Half"
307,"Oriental Grilled Chicken Salad, Half w/o dressing"
308,"Oriental Grilled Chicken Salad, Regular"
309,"Oriental Grilled Chicken Salad, Regular w/o dressing"
310,"Pecan-Crusted Chicken Salad, Half"
311,"Pecan-Crusted Chicken Salad, Half w/o dressing"
312,"Pecan-Crusted Chicken Salad, Regular"
313,"Pecan-Crusted Chicken Salad, Regular w/o dressing"
314,Philly Burger
315,Pork Wonton Tacos
316,Potato Skins
317,Potato Twisters
318,Provolone-Stuffed Meatballs with Fettuccine
319,Quesadilla Burger
320,Queso Blanco
321,Queso Blanco with chili
322,Red Beans & Rice
323,Ribeye
324,Riblet and Chicken Tenders Basket
325,1% Lowfat Chocolate Milk*
326,2% Reduced Fat White Milk*
327,Angus Cool Deli Sandwich
328,Angus Cool Deli Wrap
329,Angus Three Cheese & Bacon Sandwich
330,Apple Turnover
331,Applesauce
332,Arby’s Melt
333,Arby’s Sauce® Adds
334,Bacon Beef ‘n Cheddar
335,"Bacon, Egg & Cheese Biscuit"
336,Beef’n Cheddar Classic
337,Beef’n Cheddar Max
338,Beef’n Cheddar Mild
339,Buffalo Dipping Sauce Adds
340,CapriSun® Fruit Juice
341,Cherry Turnover
342,Chicken Bacon & Swiss – Crispy
343,Chicken Bacon & Swiss – Roast
344,Chicken Biscuit*
345,Chicken Cordon Bleu – Crispy
346,Chicken Cordon Bleu – Roast
347,Chocolate Chunk Cookies (2)
348,Chocolate Shake – Regular
349,Chocolate Shake – Small
350,Chocolate Turnover
351,Chopped Farmhouse Chicken Salad – Crispy
352,Chopped Farmhouse Chicken Salad – Roast
353,Chopped Side Salad
354,Classic Italian Toasted Sub
355,Cravin’ Chicken Sandwich – Crispy
356,Cravin’ Chicken Sandwich – Roast
357,Curly Fries – Kids
358,Curly Fries – Large
359,Curly Fries – Medium
360,Curly Fries – Small
361,Curly Fries – Value
362,Deluxe Bacon Cheddar
363,French Dip & Swiss/Au Jus
364,Ham & Swiss Melt
365,"Ham, Egg & Cheese Croissant"
366,"Ham, Egg & Cheese Sourdough"
367,Homestyle Fries – Kids
368,Homestyle Fries – Large
369,Homestyle Fries – Medium
370,Homestyle Fries – Small
371,Honey Dijon Mustard Sauce Adds
372,Horsey Sauce® Adds
373,Jalapeno Bites® – (5)
374,Jalapeno Bites® – (8)
375,Jamocha Oreo® Shake – Small
376,Jamocha Oreo® Swirl Shake – Regular
377,Jamocha Shake – Regular
378,Jamocha Shake – Small
