id,name
1,Drinks
2,Shakes
3,Sides
4,Desserts
5,Entrees
6,French Fries
7,Burgers
8,Chicken
9,Seafood
10,Appetizers
11,Salads
12,Sandwiches
13,Ribs
14,Soups
15,Kid's Meals
16,Wraps
17,Breakfast
18,Breads
19,Pizzas
20,Wing Sauces
21,Wings
22,Breakfast Tacos
23,Breakfast Sandwiches
24,Burritos
25,Coffee
26,Tacos
27,Mexican Food
28,Fajitas
29,Tortillas
30,Paninis
31,Nuggets
32,Cream Cheese Spreads
