id,calories,carbs,fat
3255,460,63.0,18
3256,250,43.0,5
3257,310,55.0,6
3258,390,68.0,6
3259,330,54.0,10
3260,350,60.0,9
3261,520,61.0,24
3262,160,29.0,3
3263,180,31.0,4
3264,230,40.0,6
3265,380,48.0,16
3266,300,36.0,14
3267,240,29.0,12
3268,130,21.0,5
3269,190,27.0,8
3270,270,41.0,11
3271,130,21.0,5
3272,190,29.0,8
3273,270,43.0,11
3274,140,22.0,5
3275,200,30.0,8
3276,280,45.0,11
3277,130,21.0,5
3278,190,29.0,8
3279,270,43.0,11
3280,60,8.0,5
3281,90,11.0,8
3282,120,16.0,11
3283,160,31.0,3
3284,180,33.0,4
3285,230,41.0,6
3286,80,6.0,4
3287,100,8.0,6
3288,140,10.0,8
3289,60,12.0,3
3290,90,14.0,5
3291,110,19.0,6
3292,310,42.0,13
3293,270,43.0,8
3294,140,30.0,0
3295,150,32.0,0
3296,190,40.0,0
3297,300,49.0,6
3298,240,37.0,6
3299,200,29.0,6
3300,140,32.0,0
3301,150,33.0,0
3302,190,42.0,0
3303,50,7.0,0
3304,60,9.0,0
3305,70,11.0,0
3306,40,13.0,0
3307,50,14.0,0
3308,60,19.0,0
3309,140,31.0,0
3310,150,33.0,0
3311,190,41.0,0
3312,160,31.0,3
3313,190,33.0,4
3314,230,41.0,6
3315,45,8.0,1
3316,500,63.0,25
3317,150,11.0,8
3318,180,13.0,10
3319,210,16.0,11
3320,130,17.0,7
3321,160,21.0,8
3322,180,25.0,10
3323,70,15.0,0
3324,330,26.0,19
3325,360,40.0,16
3326,260,43.0,8
3327,390,33.0,19
3328,710,105.0,25
3329,580,89.0,19
3330,500,44.0,26
3331,610,44.0,36
3332,380,48.0,19
3333,280,40.0,11
3334,330,48.0,12
3335,400,58.0,14
3336,240,41.0,5
3337,280,50.0,6
3338,330,58.0,6
3339,60,9.0,0
3340,80,12.0,0
3341,90,13.0,0
3342,50,15.0,0
3343,70,19.0,0
3344,80,22.0,0
3345,150,33.0,0
3346,190,41.0,0
3347,230,49.0,0
3348,170,36.0,0
3349,220,45.0,0
3350,260,53.0,0
3351,280,49.0,4
3352,240,41.0,4
3353,200,34.0,4
3354,150,34.0,0
3355,190,43.0,0
3356,230,51.0,0
3357,180,37.0,0
3358,220,46.0,0
3359,260,55.0,0
3360,90,13.0,0
3361,110,15.0,0
3362,120,18.0,0
3363,80,18.0,0
3364,90,22.0,0
3365,110,27.0,0
3366,150,34.0,0
3367,190,42.0,0
3368,230,51.0,0
3369,180,37.0,0
3370,220,46.0,0
3371,260,55.0,0
3372,150,22.0,6
3373,590,1.0,33
3374,300,1.0,16
3375,410,1.0,20
3376,750,113.0,29
3377,340,53.0,13
3378,35,0.0,3
3379,780,86.0,44
3380,15,0.0,1
3381,240,50.0,5
3382,980,55.0,57
3383,990,22.0,76
3384,140,11.0,10
3385,270,20.0,16
3386,1600,216.0,73
3387,110,0.0,2
3388,240,1.0,20
3389,140,4.0,9
3390,30,0.0,0
3391,410,8.0,38
3392,330,8.0,30
3393,240,16.0,17
3394,760,73.0,48
3395,740,60.0,41
3396,1020,82.0,53
3397,150,28.0,2
3398,950,173.0,13
3399,560,10.0,54
3400,890,64.0,54
3401,650,82.0,18
3402,480,78.0,11
3403,840,141.0,17
3404,200,17.0,9
3405,600,46.0,36
3406,420,64.0,10
3407,290,43.0,8
3408,530,64.0,18
3409,660,84.0,22
3410,600,65.0,22
3411,790,88.0,28
3412,1060,71.0,58
3413,250,29.0,8
3414,1440,80.0,88
3415,910,71.0,52
3416,1440,103.0,82
3417,1310,164.0,46
3418,550,63.0,20
3419,770,59.0,37
3420,570,67.0,18
3421,1090,79.0,49
3422,740,57.0,38
3423,1070,88.0,53
3424,760,53.0,39
3425,290,23.0,21
3426,210,44.0,2
3427,930,148.0,22
3428,270,25.0,18
3429,850,98.0,35
3430,620,70.0,26
3431,850,98.0,35
3432,180,35.0,1
3433,800,69.0,48
3434,1220,99.0,75
3435,190,10.0,15
3436,770,89.0,32
3437,1050,112.0,48
3438,290,23.0,20
3439,130,19.0,4
3440,220,12.0,18
3441,200,22.0,10
3442,40,10.0,0
3443,610,19.0,40
3444,560,53.0,23
3445,760,47.0,44
3446,570,52.0,25
3447,1070,76.0,51
3448,870,78.0,29
3449,1320,91.0,80
3450,810,74.0,44
3451,990,83.0,54
3452,580,50.0,26
3453,510,5.0,26
3454,510,5.0,26
3455,650,68.0,31
3456,390,59.0,6
3457,250,49.0,4
3458,580,35.0,32
3459,850,39.0,47
3460,1030,82.0,63
3461,840,65.0,49
3462,1170,90.0,68
3463,610,69.0,35
3464,230,28.0,13
3465,310,55.0,4
3466,430,76.0,6
3467,340,58.0,6
3468,70,9.0,2
3469,35,4.0,1
3470,100,6.0,5
3471,670,56.0,22
3472,100,18.0,1
3473,750,24.0,23
3474,830,72.0,28
3475,640,27.0,19
3476,180,13.0,8
3477,690,40.0,35
3478,760,54.0,38
3479,1060,65.0,65
3480,590,42.0,25
3481,120,3.0,10
3482,300,6.0,30
3483,130,17.0,2
3484,190,43.0,0
3485,200,38.0,1
3486,490,97.0,8
3487,370,73.0,6
3488,520,98.0,10
3489,370,72.0,7
3490,480,64.0,15
3491,450,53.0,19
3492,670,74.0,30
3493,330,22.0,16
3494,370,26.0,22
3495,370,42.0,20
3496,35,4.0,1
3497,300,6.0,30
3498,360,39.0,16
3499,45,6.0,1
3500,440,32.0,27
3501,280,15.0,19
3502,670,59.0,36
3503,1020,88.0,52
3504,480,35.0,16
3505,800,85.0,33
3506,840,67.0,42
3507,630,57.0,31
3508,510,79.0,9
3509,730,110.0,12
3510,600,39.0,37
3511,500,43.0,22
3512,230,45.0,1
